staff_id,first_name,last_name,role,department,facility_id,phone_number,email,employment_status,start_date,line_manager,access_level
ST001,Michelle,Adams,,,,07111333444,m.adams@birminghamgp.nhs.uk,,,,
ST002,James,Wilson,,,,07111333445,j.wilson@birminghamgp.nhs.uk,,,,
ST003,Carol,Smith,,,,07111333446,c.smith@birminghamgp.nhs.uk,,,,
ST004,Peter,Johnson,,,,07111333447,p.johnson@birminghamgp.nhs.uk,,,,
ST005,Sandra,Brown,,,,07111333448,s.brown@solihullgp.nhs.uk,,,,
ST006,Kevin,Davis,,,,07111333449,k.davis@solihullgp.nhs.uk,,,,
ST007,Lisa,Miller,,,,07111333450,l.miller@solihullgp.nhs.uk,,,,
ST008,Margaret,Taylor,,,,07111333451,m.taylor@suttongp.nhs.uk,,,,
ST009,Robert,Anderson,,,,07111333452,r.anderson@suttongp.nhs.uk,,,,
ST010,Helen,White,,,,07111333453,h.white@suttongp.nhs.uk,,,,
ST011,David,Thompson,,,,07111333454,d.thompson@heartlandshospital.nhs.uk,,,,
ST012,Julie,Roberts,,,,07111333455,j.roberts@heartlandshospital.nhs.uk,,,,
ST013,Mark,Evans,,,,07111333456,m.evans@heartlandshospital.nhs.uk,,,,
ST014,Susan,Clarke,,,,07111333457,s.clarke@queenshospital.nhs.uk,,,,
ST015,Andrew,Phillips,,,,07111333458,a.phillips@queenshospital.nhs.uk,,,,
ST016,Patricia,Green,,,,07111333459,p.green@birminghamhospital.nhs.uk,,,,
ST0010,Tom,Jerry,,,,03232,brtus@tom.com,,,,
